3620000	-97509
3630000	-97813
3640000	-98261
3650000	-98634
3660000	-99160
3670000	-99395
3680000	-99378
3690000	-99592
3700000	-99872
3710000	-100221
3720000	-100393
3730000	-100640
3740000	-100875
3750000	-100876
3760000	-101174
3770000	-101628
3780000	-101782
3790000	-101939
3800000	-101991
3810000	-102424
3820000	-102581
3830000	-102609
3840000	-103261
3850000	-103535
3860000	-103824
3870000	-104098
3880000	-104198
3890000	-104490
3900000	-105001
3910000	-105269
3920000	-105567
3930000	-105787
3940000	-106292
3950000	-106374
3960000	-106915
3970000	-107108
3980000	-107583
3990000	-107989
4000000	-108053
4010000	-108411
4020000	-108646
4030000	-108920
4040000	-109287
4050000	-109630
4060000	-109994
4070000	-110313
4080000	-110530
4090000	-111008
4100000	-111108
4110000	-111289
4120000	-111524
4130000	-111864
4140000	-111937
4150000	-112022
4160000	-112302
4170000	-112531
4180000	-112532
4190000	-112803
4200000	-113182
4210000	-113438
4220000	-113463
4230000	-113902
4240000	-114272
4250000	-114381
4260000	-114520
4270000	-114764
4280000	-114807
4290000	-115027
4300000	-115310
4310000	-115575
4320000	-115675
4330000	-115862
4340000	-116337
4350000	-116629
4360000	-116942
4370000	-117378
4380000	-117577
4390000	-117899
4400000	-118074
4410000	-118489
4420000	-118700
4430000	-119118
4440000	-119392
4450000	-119531
4460000	-119865
4470000	-120217
4480000	-120317
4490000	-120681
4500000	-120703
4510000	-120905
4520000	-121233
4530000	-121525
4540000	-121787
4550000	-122391
4560000	-122653
4570000	-122747
4580000	-122994
4590000	-123340
4600000	-123836
4610000	-124161
4620000	-124282
4630000	-124772
4640000	-125037
4650000	-125272
4660000	-125663
4670000	-125862
4680000	-125932
4690000	-126197
4700000	-126507
4710000	-126601
4720000	-126470
4730000	-126720
4740000	-126910
4750000	-127133
4760000	-127398
4770000	-127414
4780000	-127694
4790000	-128028
4800000	-127963
4810000	-128108
4820000	-128355
4830000	-128515
4840000	-128702
4850000	-129039
4860000	-129259
4870000	-129764
4880000	-129945
4890000	-130240
4900000	-130574
4910000	-131055
4920000	-131329
4930000	-131930
4940000	-132594
4950000	-132736
4960000	-132902
4970000	-133161
4980000	-133264
4990000	-133568
5000000	-133914
